4K频道,#genre#
苏州 4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
CCTV 4K,http://159.75.85.63:5679/cctv4k.php
CCTV16 4K,http://live.cooltv.top/tv/aishang.php?id=cctv164k
爱上 4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8
咪咕体育 4K,http://117.136.156.66:80/000000001000/3000000010000005180/index.m3u8
Ziggo Sport 4K,http://live.iptvtotaal.com:8000/awpreneniptv/09HZaVeOmh/20560
RTL 4K,http://live.darkside-iptv.co:8080/pMDWkZ3Uff7S/g98astfctveh/29821.ts
TRT 4k,http://4e87b8a2.rossteleccom.net/iptv/UWSCNHYFPPFSA5/4001/index.m3u8
VTC13 4K,http://vcdn1.vtc.gov.vn:1935/m_4k/smil:4k.smil/playlist.m3u8?$3840x2160
ULTRA NATURE TV 4K,http://185.236.229.31:9981/play/a01d
Clarity 4K,https://d3thiix3tzne5u.cloudfront.net/playlist2160p.m3u8

央视,#genre#
CCTV1,http://219.142.150.54:9901/tsfile/live/0001_1.m3u8
CCTV2,http://219.142.150.54:9901/tsfile/live/0002_1.m3u8
CCTV3,http://219.142.150.54:9901/tsfile/live/0003_1.m3u8
CCTV4,http://219.142.150.54:9901/tsfile/live/0004_1.m3u8
CCTV5,http://219.142.150.54:9901/tsfile/live/0005_1.m3u8
CCTV5+,http://219.142.150.54:9901/tsfile/live/0018_1.m3u8
CCTV6,http://219.142.150.54:9901/tsfile/live/0006_1.m3u8
CCTV7,http://219.142.150.54:9901/tsfile/live/0007_1.m3u8
CCTV8,http://219.142.150.54:9901/tsfile/live/0008_1.m3u8
CCTV9,http://219.142.150.54:9901/tsfile/live/0009_1.m3u8
CCTV10,http://219.142.150.54:9901/tsfile/live/0010_1.m3u8
CCTV11,http://219.142.150.54:9901/tsfile/live/0011_1.m3u8
CCTV12,http://219.142.150.54:9901/tsfile/live/0012_1.m3u8
CCTV13,http://219.142.150.54:9901/tsfile/live/0013_1.m3u8
CCTV14,http://219.142.150.54:9901/tsfile/live/0014_1.m3u8
CCTV15,http://219.142.150.54:9901/tsfile/live/0015_1.m3u8
CCTV16,http://219.142.150.54:9901/tsfile/live/0016_1.m3u8
CCTV17,http://219.142.150.54:9901/tsfile/live/0017_1.m3u8
